Title,Subscribers,Image URL,Channel URL
WerkWerk SG,6884,/img/5/image-channel-5d692692c27334cb613c1352a73089dbc7deced1.jpg,https://t.me/werkwerksg
ARTmorie,79,/img/3/image-channel-33a4e6f78b244552905d334aa595afc89005ef63.jpg,https://t.me/artmorie
Barcelona Restaurants,15,/img/4/image-channel-483928785bf49cb1aa9f392759a4da7602324be2.jpg,https://t.me/barcelonarestaurants
Hootenanny Homestead,1805,/images/default.jpg,https://t.me/baste_pickle
🍰دستپختهای خودمونی (be,13,/img/b/image-channel-b1f25887225e7b3a84f6b7954d2b73c1d1d42996.jpg,https://t.me/bestfood
Bonita | HD Wallpapers,no,/images/default.jpg,https://t.me/bonitahd
Char Stuff,no,https://imagizer.imageshack.us/80x80f/905/ZkWkPu.jpg,https://t.me/char_stuff
Darwin ShowBettas 🐠,968,/img/8/image-channel-81f9f83846526afffdf2378cedc42d1c640b4b2c.jpg,https://t.me/darwinshowbettas
SG Budget Babes,46822,/img/3/image-channel-33b670977ad8b1c72ce24e17713b65d72968d0dc.jpg,https://t.me/budgetbabes
Fashionable,no,/images/default.jpg,https://t.me/fashionfoodfitness
FoodChan,119,/img/a/image-channel-a29e86dab5cfbf78b7bd2be39037c45d0500a52f.jpg,https://t.me/foodchan
Food Decorating and De,116,https://cdn.tdirectory.me/images/td/802232812_44798.jpg,https://t.me/fooddesigns
Food,147,/img/7/image-channel-71138bfdb00d92534f2cfd941abfd22cee37c7cf.jpg,https://t.me/foodgasm
Food Pictures,113,/img/5/image-channel-54763c75fda940a672b023d8d252c807494314b7.jpg,https://t.me/foodpics
Food Pictures,no,https://imagizer.imageshack.us/80x80f/924/PEAUjX.jpg,https://t.me/foodpicz
🍉 Food ^,247,https://cdn.tdirectory.me/images/td/713423456_153249.jpg,https://t.me/foodpron
Food technology,1693,/images/default.jpg,https://t.me/foodtechashish
Food photography uk,13,/images/default.jpg,https://t.me/fooduk
Food Express,15,/img/7/image-channel-785ce478e0ef4aecba97dc1ce3fa3b76d9d4f4fc.jpg,https://t.me/foodxpress
foodydiy,321,/img/6/image-channel-61c42c8706b8f9a78347ec12154485795d54d47f.jpg,https://t.me/foody_diy
